-- Anomaly Detection based on One Class Support Vector Machines (PCA Features) --
Obs:  0 (YouTube ): Kernel Linear->OK         | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 503 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 504 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 505 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 506 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 507 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 508 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 509 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 510 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 511 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 512 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 513 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 514 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 515 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 516 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 517 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 518 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 519 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 520 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 521 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 522 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 523 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 524 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 525 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 526 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 527 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 528 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 529 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 530 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 531 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 532 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 533 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 534 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 535 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 536 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 537 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 538 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 539 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 540 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 541 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 542 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 543 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 544 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 545 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 546 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 547 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 548 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 549 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->Anomaly
Obs: 550 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 551 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 552 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 553 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 554 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 555 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 556 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 557 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 558 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 559 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 560 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 561 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 562 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 563 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 564 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 565 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 566 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK        
Obs: 567 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 568 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 569 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 570 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 571 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 572 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 573 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 574 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 575 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 576 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 577 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 578 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 579 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 580 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 581 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 582 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->OK
Obs: 583 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 584 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 585 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 586 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->OK         | Kernel Poly->Anomaly
Obs: 587 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 588 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 589 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 590 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 591 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 592 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 593 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 594 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 595 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 596 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 597 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 598 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 599 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 600 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 601 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 602 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 603 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 604 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 605 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 606 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 607 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 608 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 609 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 610 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 611 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 612 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 613 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 614 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 615 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 616 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 617 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 618 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 619 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 620 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 621 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 622 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 623 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 624 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 625 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 626 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 627 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 628 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 629 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 630 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 631 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 632 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 633 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 634 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 635 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 636 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 637 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 638 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 639 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 640 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 641 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 642 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 643 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 644 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 645 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 646 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 647 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 648 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 649 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 650 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 651 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 652 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 653 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 654 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 655 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 656 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 657 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
Obs: 658 (Browsing): Kernel Linear->Anomaly    | Kernel RBF->Anomaly    | Kernel Poly->OK
